epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,105.173,0.21409,0.3025,0.80726,0,0,0,0,0,732.5,0,0.00029215,0.00029215,0.00029215
145,105.89,0.21013,0.30611,0.79718,0,0,0,0,0,723.5,0,0.0002872,0.0002872,0.0002872
146,106.66,0.22976,0.31085,0.80884,0,0,0,0,0,714.5,0,0.00028225,0.00028225,0.00028225
147,107.421,0.22595,0.32997,0.81459,0,0,0,0,0,703,0,0.0002773,0.0002773,0.0002773
148,108.185,0.2102,0.29581,0.80179,0,0,0,0,0,691,0,0.00027235,0.00027235,0.00027235
149,108.946,0.20756,0.29088,0.79171,0,0,0,0,0,677,0,0.0002674,0.0002674,0.0002674
150,109.731,0.21832,0.31624,0.81815,0,0,0,0,0,683,0,0.00026245,0.00026245,0.00026245
151,110.451,0.22347,0.30486,0.80985,0,0,0,0,0,694.5,0,0.0002575,0.0002575,0.0002575
152,111.166,0.21851,0.3127,0.81442,0,0,0,0,0,709,0,0.00025255,0.00025255,0.00025255
153,111.882,0.22306,0.31063,0.80417,0,0,0,0,0,714,0,0.0002476,0.0002476,0.0002476
154,112.593,0.21114,0.30369,0.82021,0,0,0,0,0,720,0,0.00024265,0.00024265,0.00024265
155,113.309,0.20843,0.297,0.80692,0,0,0,0,0,721.5,0,0.0002377,0.0002377,0.0002377
156,114.021,0.21218,0.29597,0.80796,0,0,0,0,0,711,0,0.00023275,0.00023275,0.00023275
157,114.728,0.21205,0.30123,0.79772,0,0,0,0,0,699.5,0,0.0002278,0.0002278,0.0002278
158,115.425,0.20677,0.29498,0.79962,0,0,0,0,0,701,0,0.00022285,0.00022285,0.00022285
159,116.123,0.21177,0.30976,0.80879,0,0,0,0,0,725,0,0.0002179,0.0002179,0.0002179
160,116.819,0.2152,0.29707,0.80303,0,0,0,0,0,744.5,0,0.00021295,0.00021295,0.00021295
161,117.523,0.22231,0.30911,0.80261,0,0,0,0,0,765,0,0.000208,0.000208,0.000208
162,118.22,0.2085,0.29558,0.80394,0,0,0,0,0,788,0,0.00020305,0.00020305,0.00020305
163,118.917,0.21245,0.30168,0.80165,0,0,0,0,0,795,0,0.0001981,0.0001981,0.0001981
164,119.639,0.20807,0.2964,0.80028,0,0,0,0,0,786.5,0,0.00019315,0.00019315,0.00019315
165,120.35,0.21085,0.2869,0.80852,0,0,0,0,0,766,0,0.0001882,0.0001882,0.0001882
166,121.068,0.20383,0.29307,0.79962,0,0,0,0,0,746,0,0.00018325,0.00018325,0.00018325
167,121.764,0.20275,0.28506,0.80444,0,0,0,0,0,726.5,0,0.0001783,0.0001783,0.0001783
168,122.463,0.21243,0.29795,0.80424,0,0,0,0,0,717,0,0.00017335,0.00017335,0.00017335
